Product ID,Product Name,Company Name,Product Type,Product Link,Product Image,Product Description,Keywords
0,Women's Tree Dashers,All Birds,Running Shoes,https://www.allbirds.com/products/womens-tree-dashers-geyser,,"Our most technical shoe yet, the Tree Dasher reimagines the traditional running shoe with natural materials engineered for serious performance. Made in Shenzhen, China + Hai Phong, Vietnam. Heel Drop: 7mm (Forefoot: 15.5mm, Heel: 22.5mm). Type: Neutral, Cushioned, Light Stability Running Shoe. Renewable Materials. Machine Washable. Minimizes Odor. Flexibly Conforms To Your Movements","Allbird Running Shoes, Tree Material, Sugarcane Midsole, Renewable Materials"
1,Women's Wool Dasher Mizzles,All Birds,Running Shoes,https://www.allbirds.com/products/womens-wool-dasher-mizzles,,"Take stormy weather in stride with the running shoe that uses natural materials to give you extra grip and keep your feet dry. Made in Shenzhen, China. Renewable Materials. Machine Washable. Minimizes Odor. Flexibly Conforms To Your Movements","Allbird Running Shoes, Merino Wool, Natural Rubber Grip, Water Resistant, Renewable Materials"
2,Women's Wool Dasher Mizzles - Mid,All Birds,Running Shoes,https://www.allbirds.com/products/womens-wool-dasher-mizzles-mid,,"Take stormy weather in stride with the running shoe that uses natural materials to give you extra grip, plus a mid cut knit sock collar to keep your feet warm and dry. Renewable Materials. Machine Washable. Minimizes Odor. Flexibly Conforms To Your Movements","Allbird Running Shoes, Water Repellent Sneakers, Natural Rubber Grip, Knit Sock Collar, Renewable Materials"
3,Women's Wool Runners,All Birds,Everday Sneakers,https://www.allbirds.com/products/womens-wool-runners,,"Ethically made with ZQ Merino wool, our original sneaker is soft, moisture wicking, and ready for anything. Made in Busan, South Korea. Renewable Materials. Machine Washable. Minimizes Odor. Flexibly Conforms To Your Movements","Allbirds Everyday Sneakers, Merino Wool, Renewable Materials"
4,Women's Tree Runners,All Birds,Everday Sneakers,https://www.allbirds.com/products/womens-tree-runners-wasatch,,"Our breathable, silky-smooth sneaker made with responsibly sourced eucalyptus tree fiber treads lightly in everything you do. Made in Shenzhen, China + Hai Phong, Vietnam. Renewable Materials. Machine Washable. Minimizes Odor. Flexibly Conforms To Your Movements","Allbirds Everyday Sneakers, Eucalyptus Tree, Machine Washable, Renewable Materials"
5,Women's Wool Piper Mids,All Birds,Everday Sneakers,https://www.allbirds.com/products/womens-wool-piper-mids,,"Soft for daily wear, this reimagined classic made with natural materials is all about balancing simplicity and exaggeration for versatile styling. Made in Busan, South Korea. Use: Casual. Material: Merino Wool Upper, Sugarcane Midsole. Fit: This style is available in whole sizes only. In between sizes? We recommend you size up. Where It's Made: Made in Busan, South Korea. Learn more about our operations. Sustainability: Our Wool Piper Mid is carbon neutral thanks to a combination of sustainable practices, like using natural materials, and carbon credits. But before we balance the emissions, its footprint starts at 11 kg CO2e. Think of this measurement like a nutrition label for your closet.","Allbirds Everyday Sneakers, Casual shoes, Merino Wool, Sugarcane, Renewable Materials"
6,Women's Wool Runner Mizzles,All Birds,Everyday Sneakers,https://www.allbirds.com/products/womens-wool-runner-mizzles,,"Combining cozy ZQ Merino wool and a bio-based water repellent shield, our rain-ready sneaker keeps your feet predictably dry in unpredictable weather. Made in Busan, South Korea. Renewable Materials. Machine Washable. Minimizes Odor. Flexibly Conforms To Your Movements","Allbirds Everyday Sneakers, Thick Wool, Natural Rubber Grip"
7,Women's Tree Toppers,All Birds,Everyday Sneakers,https://www.allbirds.com/products/womens-tree-toppers-charcoal,,"Add a little edge to your threads in our minimalist high top made with breathable, silky-smooth eucalyptus tree fiber. Made in Shenzhen, China. Renewable Materials. Machine Washable. Minimizes Odor. Flexibly Conforms To Your Movements","Allbirds Everyday Sneakers, Eucalyptus Tree, Machine Washable, Renewable Materials"
8,Men's Tree Dashers,All Birds,Running Shoes,https://www.allbirds.com/products/mens-tree-dashers-kilimanjaro,,"Our most technical shoe yet, the Tree Dasher reimagines the traditional running shoe with natural materials engineered for serious performance. Made in Shenzhen, China + Hai Phong, Vietnam. Heel Drop: 7mm (Forefoot: 15.5mm, Heel: 22.5mm). Type: Neutral, Cushioned, Light Stability Running Shoe. Renewable Materials. Machine Washable. Minimizes Odor. Flexibly Conforms To Your Movements","Allbirds Running Shoes, Tree Material, Sugarcane Midsole"
9,Men's Wool Dasher Mizzles - Mid,All Birds,Running Shoes,https://www.allbirds.com/products/mens-wool-dasher-mizzles-mid,,"Take stormy weather in stride with the running shoe that uses natural materials to give you extra grip, plus a mid cut knit sock collar to keep your feet warm and dry. Renewable Materials. Machine Washable. Minimizes Odor. Flexibly Conforms To Your Movements","Allbirds Running Shoes, Natural Rubber Grip, Water-Repellent Sneaker"
10,Men's Wool Runners,All Birds,Everyday Sneakers,https://www.allbirds.com/products/mens-wool-runners,,"Ethically made with ZQ Merino wool, our original sneaker is soft, moisture wicking, and ready for anything. Made in Busan, South Korea. Renewable Materials. Machine Washable. Minimizes Odor. Flexibly Conforms To Your Movements","Allbirds Everyday Sneakers, Merino Wool, Renewable Materials"
11,Men's Wool Pipers,All Birds,Everyday Sneakers,https://www.allbirds.com/products/mens-wool-pipers-true-black,,"Soft for daily wear, this reimagined classic made with natural materials is all about balancing simplicity and exaggeration for versatile styling. Made in Busan, South Korea. Renewable Materials. Machine Washable. Minimizes Odor. Flexibly Conforms To Your Movements","Allbirds Everyday Sneakers, Merino Wool, Renewable Materials"
12,Men's Wool Piper - Mids,All Birds,Everyday Sneakers,https://www.allbirds.com/products/mens-wool-piper-mids,,"Soft for daily wear, this reimagined classic made with natural materials is all about balancing simplicity and exaggeration for versatile styling. Made in Busan, South Korea. Use: Casual. Materials: Merino Wool Upper, Sugarcane Midsole. Fit: This style is available in whole sizes only. In between sizes? We recommend you size up. Where It's Made: Made in Busan, South Korea. Learn more about our operations. Sustainability: Our Wool Piper Mid is carbon neutral thanks to a combination of sustainable practices, like using natural materials, and carbon credits. But before we balance the emissions, its footprint starts at 11kg CO2e. Think of this measurement like a nutrition label for your closet.","Allbirds Everyday Sneakers, Merino Wool, Sugarcane, Renewable Material"
13,Men's Wool Runner Mizzles,All Birds,Everyday Sneakers,https://www.allbirds.com/products/mens-wool-runner-mizzles,,"Combining cozy ZQ Merino wool and a bio-based water repellent shield, our rain-ready sneaker keeps your feet predictably dry in unpredictable weather. Made in Busan, South Korea. Renewable Materials. Machine Washable. Minimizes Odor. Flexibly Conforms To Your Movements","Allbirds Everyday Sneakers, Water-Repellent Sneaker, Thick Wool, Renewable Material"
14,Men's Wool Runner-up Mizzles,All Birds,Everyday Sneakers,https://www.allbirds.com/products/mens-wool-runner-up-mizzles-tuke-jo,,"Our wet-weather high top is made with ZQ Merino wool and a bio-based water repellent shield, so your feet stay dry and cozy no matter what the day brings. Made in Busan, South Korea. Renewable Materials. Machine Washable. Minimizes Odor. Flexibly Conforms To Your Movements","Allbirds Everyday Sneakers, Thick Wool High Top, Water-Repellent Sneaker, Renewable Materials"
15,Men's Tree Pipers,All Birds,Everyday Sneakers,https://www.allbirds.com/products/mens-tree-pipers-moonrise,,"All-day comfort. Everyday style. With a classic low top made from breezy eucalyptus tree fiber, our new Tree Piper is the summer sneaker your outfits have been waiting for. Renewable Materials. Machine Washable. Minimizes Odor. Flexibly Conforms To Your Movements","Allbirds Everyday Sneakers, Eucalyptus Tree, Tree Material, Renewable Materials"
16,Men's Tree Toppers,All Birds,Everyday Sneakers,https://www.allbirds.com/products/mens-tree-toppers-charcoal,,"Add a little edge to your threads in our minimalist high top made with breathable, silky-smooth eucalyptus tree fiber. Made in Shenzhen, China. Renewable Materials. Machine Washable. Minimizes Odor. Flexibly Conforms To Your Movements","Allbirds Everyday Sneakers, Eucalyptus Tree, Tree Material, High Top, Renewable Materials"
17,Men's Wool Runner Fluffs,All Birds,Everyday Sneakers,https://www.allbirds.com/products/mens-wool-runner-fluffs,,"We’re celebrating 5 years of the Wool Runner with this limited edition tribute to the very sheep that make it all possible. Renewable Materials. Machine Washable. Minimizes Odor. Flexibly Conforms To Your Movements","Allbirds Everyday Sneakers, Merino Wool, Renewable Materials"
18,Men's Wool Hoodie,All Birds,Sweaters,https://www.allbirds.com/products/mens-wool-hoodie,,"Cozy with a clean finish, the Wool Hoodie makes for the perfect cool-weather layer that shifts between the office and the weekend with ease. The Wool Hoodie is made of 100% ZQ Merino wool. Natural Materials. Double Knit Structure. Thicker Gauge Yarn. Stitched For A Clean Finish","Allbirds Men's Apparel, Merino Wool, Natural Materials, Classic Fit, Zip-Up"
19,Men's Wool Cardi,All Birds,Sweaters,https://www.allbirds.com/products/mens-wool-cardi,,"A relaxed-but-structured take on the traditional cardigan, the Wool Cardi makes for an elevated cool-weather layer designed for season after season warmth. Made in Dongguan, China. The Wool Cardi is made of 100% ZQ Merino wool. Natural Materials. Double Knit Structure. Thicker Gauge Yarn. Expressive Stitching Pattern","Allbirds Men's Apparel, Merino Wool, Natural Materials, Classic Fit, Button-Up"
20,Bamboo Straws,Earth Hero,Straws,https://earthhero.com/products/home/bambu-bamboo-straws-6pk/,,"Every day, Americans use more than 500 million plastic straws. Replace the waste with bambu's Bamboo Straws, the only straws that are certified organic. Made from USDA certified organic bamboo, these durable straws are biodegradable and compostable, and come with a cleaning brush so you can wash and reuse them for years before the end of their life. From juice to smoothies and even cocktails, these reusable bamboo straws are the natural way to reduce your waste","Earth Hero, bambu, Bamboo, Straws, Reusable, Kitchen, Drinkware"
21,Clear Glass Straws,Earth Hero,Straws,https://earthhero.com/products/home/simply-straws-clear-glass-straw-set-8/,,"Did you know that Americans use over 500 million plastic straws per day? We know sipping from a straw is better for your teeth, and great for messy kids, seniors, and anyone in between– but single-use plastic straws are creating a huge waste problem. When you switch to Simply Straws, you do better for your health, and the planet. The classic Clear Glass Straw Set comes with a modern black and cream travel pouch made to fit both the 8"" glass straw and cleaning brush, so your straw stays clean and ready to go no matter where you venture. Plus, it's BPA-free, so you can sip on even the hottest drinks toxin-free!","Earth Hero, Glass, Straws, Reusable, Kitchen, Drinkware"
22,Stainless Steel Straws,Earth Hero,Straws,https://earthhero.com/products/home/u-konserve-stainless-steel-straw-brush-set/,,"Help eliminate the 500,000,000 plastic straws Americans use every day with U Konserve's reusable Stainless Steel Straw + Straw Brush. This non-toxic stainless steel straw is ideal for cold drinks, cocktails, smoothies and more. Dishwasher safe, this waste-free set comes with a handy straw brush to get rid of leftover grime and grit. Say no to single-use straws and make the sustainable swap with this stainless steel alternative!","Earth Hero, Konserve, Stainless Steel, Straws, Reusable, Kitchen, Drinkware"
23,Collapsible Straws,Earth Hero,Straws,https://earthhero.com/products/sustainable-essentials/finalstraw-finalstraw-biggie-collapsible-travel-straw/,,"It's time to #SuckResponsibly with FinalStraw's Biggie Collapsible Travel Straw! This badass straw is a convenient, durable alternative to single-use plastic straws, and is made from 100% silicone with a recycled plastic carrying case. It comes with a cleaning squeegee for easy clean up, and the case features a keychain clip, so you never have to worry about leaving your straw at home again. The straw itself is very wide, making it perfect for Boba, thick milkshakes, smoothies, and so much more. Stop sucking, and start living more sustainably with FinalStraw!","Earth Hero, FinalStraw, Silicone, Recycled Plastic, Straws, Reusable, Kitchen, Drinkware, Travel, Collapsible"
24,Vented Compost Bin,Earth Hero,Compost Bin,https://earthhero.com/products/home/biobag-vented-compost-bin/,,"Fact: about 30% of landfill waste is organic matter–all of which could be composted. BioBag's Vented Compost Bin makes it easy to divert your biodegradable waste away from our landfills thanks to the unique breathable design that was created to reduce the rate of bacterial build up (which leads to odors!) Made from post-consumer recycled plastic, this kitchen countertop sized bin allows moisture to escape and evaporate. With a sturdy carry handle and lockable lid, this compost bin is compatible with 2 gallon and 3 gallon compost bin bags! Plus, it's dishwasher safe–so cleaning up after composting is a breeze.","Earth Hero, BioBag, Compost, Bin, Waste"
25,Charlie Bamboo Tank,PopLinen,Shirt,https://www.poplinen.co/collections/all/products/charlie-bamboo-tank,,"Spoiler Alert: our Charlie Bamboo Tank pairs well with our Charlie Bamboo Shorts. This style is as soft as it gets and feels damn good on the skin. Plus, bamboo is a premium fabric that's ultra moisture-wicking and keeps your skin dry and comfortable all day long. The perfect top for layering under your favorite sweater or jean jacket. A great staple all year long.","PopLinen, Shirt, Tank, Charlie, Bamboo, Clothes"
26,Charlie Bamboo Running Shorts,PopLinen,Shorts,https://www.poplinen.co/collections/all/products/charlie-bamboo-shorts,,"Spoiler Alert: our Charlie Bamboo Running Shorts pair well with our Charlie Bamboo Tank. This style is as soft as it gets and feels damn good on the skin. Plus, bamboo is a premium fabric that's ultra moisture-wicking and keeps your skin dry and comfortable all day long. The perfect pair of shorts for walking the dog (or walking to your bed).","PopLinen, Shorts, Running, Charlie, Bamboo, Clothes"
27,Sophie Tank Dress,PopLinen,Dress,https://www.poplinen.co/collections/all/products/sophie-tank-dress,,"The Sophie Tank Dress –– our easiest and breeziest style yet. Made from a blend of TENCEL™ and Organic Cotton Jersey. You get the best of both worlds with the ultra-softness of TENCEL™ and breathability of soft cotton. This dress is the perfect weight to compliment your body –– not flimsy, but also not heavy. TENCEL™ is a fiber made from the pulp of wood trees. Both TENCEL™ and Organic Cotton are sustainable and biodegradable fabrics. Details include upper left chest pocket, relaxed ribbed crew neck, and a slit on the bottom right side.","PopLinen, Dress, Tank, Sophie, Clothes"
28,Ada Linen Tank,PopLinen,Shirt,https://www.poplinen.co/collections/all/products/ada-linen-tank,,Our Ada Linen Tank is made from a blend of Linen and Rayon –– great for washing. You get the best of both worlds with the coolness of Linen and the ease of draping with Rayon. Both are biodegradable and recyclable. The combination of Linen and Rayon leaves you with less wrinkles and is a great blend for everyday shirting. Best care on your Ada Tank is to wash cold with like colors and hang dry.,"PopLinen, Shirt, Tank, Ada, Clothes"
29,Dolly Crop Yoga Tank,PopLinen,Shirt,https://www.poplinen.co/collections/all/products/dolly-crop-yoga-tank,,"From hot yoga to brunch with the pals, our Dolly Crop Yoga Tank knows how to keep up with all your moves. Simple, easy, classic. Made from a soft and lightweight Organic Cotton that lets your body breath freely –– the perfect practice while perfecting your pigeon pose.","PopLinen, Shirt, Tank, Dolly, Yoga, Clothes"
30,Brooklyn Baby Tank Onesie,PopLinen,Baby Onesie,https://www.poplinen.co/collections/all/products/brooklyn-baby-tank-onesie,,"Our Brooklyn Baby Tank Onesie is the perfect match to our Sophie Tank Dress. Made from a blend of TENCEL™ and Organic Cotton Jersey. You get the best of both worlds with the ultra-softness of TENCEL™ and breathability of soft cotton. This blend is gentle and a calming comfort to the skin. Both TENCEL™ and Organic Cotton are sustainable and biodegradable fabrics. Details include a front chest placket with three coconut buttons, four snap buttons at the bottom for easy diaper changing access, and ribbed armholes and crew neck.","PopLinen, Baby Onesie, Brooklyn, Clothes"
31,Organic Cotton Classic Tee,MATE the label,Shirt,https://matethelabel.com/products/organic-cotton-classic-tee-true-white,,Every woman needs her crew and ours is one you can definitely count on. It's got the perfect relaxed fit and is made with 100% Organic Cotton Jersey that is so super soft. The search for the perfect crew neck tee is over.,"Mate The Label, Organic Cotton, Shirt, Clothes"
32,Organic Cotton Crop Tee,MATE the label,Shirt,https://matethelabel.com/products/organic-cotton-crop-tee-bone,,The classic crew neck tee gets a fresh cut with a cropped length and relaxed fit. Our Organic Cotton Crop Tee shows the perfect peek of skin above your favorite high-waisted bottoms. Finished stitching on the sleeves and hem balance out the casual vibe.,"Mate The Label, Organic Cotton, Shirt, Crop Top, Clothes"
